year,co2
1858,0.394
1859,0.636
1860,0.643
1861,0.497
1862,0.55
1863,0.61
1864,0.577
1865,0.567
1866,0.64
1878,1.767
1879,1.684
1880,1.887
1881,1.839
1882,2.196
1883,2.441
1884,2.73
1885,2.459
1886,2.772
1887,3.066
1888,3.41
1889,4.022
1890,4.432
1891,4.772
1892,5.247
1893,5.543
1894,5.617
1895,7.035
1896,7.608
1897,8.253
1898,9.125
1899,10.054
1900,11.929
1901,13.179
1902,14.515
1903,14.802
1904,16.561
1905,16.93
1906,19.549
1907,21.772
1908,24.908
1909,24.142
1910,23.487
1911,24.782
1912,28.521
1913,31.466
1914,31.698
1915,33.141
1916,33.517
1917,35.019
1918,39.359
1919,42.974
1920,34.867
1921,37.505
1922,36.903
1923,37.971
1924,40.627
1925,40.084
1926,39.942
1927,41.883
1928,40.072
1929,41.707
1930,42.399
1931,38.85
1932,36.129
1933,35.467
1934,39.61
1935,41.393
1936,40.684
1937,45.067
1938,50.379
1939,49.311
1940,52.309
1941,53.58
1942,53.529
1943,46.644
1944,47.695
1945,52.873
1946,52.224
1947,53.179
1948,53.203
1949,56.187
1950,60.943
1951,63.806
1952,67.249
1953,68.608
1954,72.307
1955,78.694
1956,81.619
1957,91.618
1958,95.801
1959,101.436
1960,111.32
1961,120.399
1962,132.58
1963,142.439
1964,139.483
1965,153.697
1966,159.371
1967,159.557
1968,174.071
1969,177.411
1970,181.724
1971,191.965
1972,203.037
1973,209.096
1974,215.854
1975,234.21
1976,244.75
1977,258.962
1978,263.15
1979,276.285
1980,291.714
1981,314.969
1982,325.383
1983,352.205
1984,361.569
1985,397.601
1986,426.318
1987,455.355
1988,491.7
1989,540.662
1990,577.987
1991,615.388
1992,655.424
1993,677.262
1994,714.043
1995,760.48
1996,823.602
1997,857.976
1998,875.783
1999,961.194
2000,987.065
2001,1001.198
2002,1032.75
2003,1068.398
2004,1134.611
2005,1195.393
2006,1293.321
2007,1393.485
2008,1490.366
2009,1613.328
2010,1678.53
2011,1765.695
2012,1926.986
2013,1995.337
2014,2148.052
2015,2231.817
2016,2352.54
2017,2425.722
2018,2595.227
2019,2611.175
2020,2422.732
2021,2675.778
2022,2831.132
2023,3062.756
2024,3193.478